,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 2","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
QCD,31490,202,52,52,52,45,0,0
Multiboson,25187,333,167,157,152,143,95,40
ZGamma,6506,93,48,43,42,41,24,9
Top,703976,18180,6160,5699,5554,5336,3352,1489
ZJets,738994,6188,3611,3470,3460,3285,1841,870
DY,296131,8152,3308,3259,3258,3002,1451,662
WJets,1177020,9998,4652,4530,4520,4193,2079,981
Total,2979304,43146,17998,17210,17038,16045,8842,4051
