,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,10156,836,836,706,664,663,663,637,12,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,2064,184,184,161,152,152,152,144,9,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,5386,416,416,354,338,338,338,327,44,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,11772,956,956,806,760,760,760,744,52,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6106,588,588,507,487,486,486,463,112,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,7688,685,685,604,570,570,570,549,51,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,5228,549,549,467,453,452,452,436,136,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,13002,1185,1185,1029,985,983,983,953,147,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,10503,1206,1206,1007,968,968,968,940,330,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,15745,1515,1515,1298,1254,1253,1253,1221,260,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,6345,770,770,650,620,620,620,598,217,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,15144,1548,1548,1321,1280,1280,1280,1252,284,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,8276,842,842,713,679,679,679,664,183,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,9158,1173,1173,987,946,945,945,912,362,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,9810,1079,1079,915,888,887,887,858,224,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,10877,1263,1263,1064,1030,1028,1028,1004,306,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,10627,1427,1427,1227,1181,1180,1180,1134,465,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,23278,3250,3250,2745,2654,2652,2652,2556,1040,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,30269,3553,3553,3015,2937,2936,2936,2870,919,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,7949,1174,1174,995,955,953,953,920,393,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,35409,4340,4340,3664,3554,3553,3553,3468,1162,100.0,0.1,100.0
