,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx cos_collinear_fromPV_refit < 0,Vtx cos_collinear_fromPV_refit > -0.99,Vtx cos_collinear_fromPV_refit > -0.98,Vtx cos_collinear_fromPV_refit > -0.97,Vtx cos_collinear_fromPV_refit > -0.96,Vtx cos_collinear_fromPV_refit > -0.95,Vtx cos_collinear_fromPV_refit > -0.9,Vtx cos_collinear_fromPV_refit > -0.85,Vtx cos_collinear_fromPV_refit > -0.8,Vtx cos_collinear_fromPV_refit > -0.75,Vtx cos_collinear_fromPV_refit > -0.7
ZJets,0.0024216620193762486,1.0803357526678601e-05,1.0172043053549851e-05,1.0104230422690992e-05,9.603023305112928e-06,5.594649049380191e-06,5.238393516197827e-06,5.193730738058461e-06,5.1431022443855135e-06,3.4943513885030383e-06,1.6729070409527946e-06,1.3512406274139805e-06,1.2475477584858366e-06,1.1606438302770178e-06,1.1178188690610078e-06,1.085996833191695e-06,9.625551197850543e-07,8.846053898711292e-07,8.00534439815196e-07,7.09050658345163e-07,6.579578434771708e-07
SingleTop,0.00023564103448618862,1.760062142826091e-06,1.6093914690307522e-06,1.6031349168147785e-06,1.5087127380555885e-06,5.849210073120132e-07,5.450437419117957e-07,5.450437419117957e-07,5.402877453381464e-07,2.9179431064940614e-07,6.566676290378864e-08,6.22059268833634e-08,5.982792950070412e-08,4.413746766970358e-08,4.175946998565585e-08,4.175946998565585e-08,2.6069008154655308e-08,2.369101077199603e-08,2.0895298643927835e-08,2.0895298643927835e-08,2.0895298643927835e-08
TTX,0.00136440404821353,1.8843104801939346e-05,1.8981941982553317e-05,1.8456209230425307e-05,1.7196248848558644e-05,4.301054202850485e-06,4.2204132883811345e-06,4.198752448719105e-06,4.142481230258618e-06,-5.381985458854571e-07,8.144264014734712e-07,1.1975787251233547e-06,7.018556316964631e-07,1.143997474555315e-06,1.139127317635154e-06,1.1242572760649662e-06,1.1147765142893137e-06,1.1123461746210737e-06,1.0904257109434736e-06,1.080685387730634e-06,1.083115727398874e-06
TTbar,0.00044364699305655047,5.724921627575542e-06,5.313236364845626e-06,5.283113493904872e-06,5.053541466155457e-06,1.813206888178302e-06,1.6996098563889107e-06,1.6749223408659e-06,1.6647406280936585e-06,1.0470015297455874e-06,4.025869103448683e-07,3.262577829086517e-07,2.955572188052183e-07,2.7634909265308294e-07,2.602657425996333e-07,2.5270543973437377e-07,2.1498509188255743e-07,1.8779440728041835e-07,1.6708300664406393e-07,1.5007405839284072e-07,1.260453180376889e-07
QCD,2.482419777063774e-06,2.939135149805549e-08,1.3322110258070832e-08,1.331112630210932e-08,1.2647301347798697e-08,3.146781798026881e-09,3.146781798026881e-09,3.146781798026881e-09,3.08527593385527e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DY-M4to50,2.6456099600495896e-05,3.0007940472556507e-07,2.893594293192081e-07,2.8900962814738563e-07,2.7854907781217744e-07,1.4776599474593674e-07,1.466714031801326e-07,1.466714031801326e-07,1.449223973210205e-07,7.171562460720321e-08,2.052611144825716e-08,1.0065561113048951e-08,9.016157597581671e-09,7.921566031777556e-09,6.826974465973441e-09,6.826974465973441e-09,5.3825817283469005e-09,5.3825817283469005e-09,4.287990162542785e-09,4.287990162542785e-09,4.287990162542785e-09
Multiboson,0.0006591377388398074,3.270862158955912e-06,3.0191724472516945e-06,3.0191724472516945e-06,2.7863433661603377e-06,1.3398589852770976e-06,1.2352336669062126e-06,1.1901812294242424e-06,1.1585920925411248e-06,7.552543491916201e-07,2.5496042646438524e-07,1.3507987377029743e-07,1.285593539895316e-07,1.2203883420876575e-07,1.2203883420876575e-07,1.2203883420876575e-07,7.698639672679555e-08,7.698639672679555e-08,4.721071899664813e-08,3.8667816074145856e-08,3.8667816074145856e-08
WJets,0.0010132927439486308,4.2136034182386525e-06,3.96224329824163e-06,3.938727169977505e-06,3.70129675056671e-06,2.04049614723467e-06,1.932200852128105e-06,1.917342760533939e-06,1.9031949065437365e-06,1.1774062198569072e-06,5.182167528585299e-07,4.0819405331592406e-07,3.7959416666492166e-07,3.617618829734093e-07,3.521022234108969e-07,3.453685513383557e-07,2.9723300292175984e-07,2.741754734382038e-07,2.4691891252638525e-07,2.2159779208298036e-07,1.9621474660687297e-07
DY-M50,0.0003939941770486602,3.8517784469385964e-06,3.569473537150395e-06,3.5368550476692484e-06,3.344201075052646e-06,1.6965660831837544e-06,1.606434825825764e-06,1.6054669264119123e-06,1.5964467092443019e-06,1.0327084984215552e-06,4.3768986496449194e-07,3.265995534623517e-07,3.2199080611423933e-07,3.030000585909935e-07,2.956511681317654e-07,2.910771475421104e-07,2.630995572919761e-07,2.3506920116701726e-07,2.2737057030233685e-07,2.162488898932725e-07,1.7572761628166326e-07
ZGamma,0.00032470326374004914,2.3692262829404517e-06,2.527577161494251e-06,2.527577161494251e-06,2.3316884097360338e-06,1.030157082333425e-06,8.610323103644607e-07,8.610323103644607e-07,8.610323103644607e-07,6.25203335243898e-07,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08,3.753764835052591e-08
