,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75"
ZGamma,0.0003246784514825822,1.084880424225968e-05,9.512429708363879e-06,7.932025414943167e-06,7.08657249265458e-06,7.210079023073606e-06,7.2287628873379355e-06
Top,0.00039884940443411364,8.719298802066127e-06,5.332980577491684e-06,4.904090844569694e-06,4.450365124748497e-06,4.394482223177423e-06,4.135300239079419e-06
DY,0.0001870092157100167,9.114535265538725e-06,7.2206248454501e-06,7.164547703933242e-06,6.972343973103871e-06,6.919199340186363e-06,6.37231939702473e-06
ZJets,0.0024215919063650454,4.0922591547254484e-05,3.3572420320658524e-05,3.3276506272292194e-05,3.1881829255143e-05,3.17897467962295e-05,3.004942817778337e-05
WJets,0.0010131776773887344,1.9981118700655388e-05,1.6058798254264e-05,1.580685399281164e-05,1.5183377606017765e-05,1.5111069110046927e-05,1.4171135932711939e-05
Multiboson,0.00065832021677796,2.550476202951549e-05,1.942996785408618e-05,1.6390245913113942e-05,1.5331314886888746e-05,1.4723498667001719e-05,1.4339467449403598e-05
QCD,2.4876471605028946e-06,6.699463890803315e-09,3.427115692283461e-09,3.427115692283461e-09,2.015957854365578e-09,1.808657529470419e-09,7.472387222814908e-10
Total,1.6957574430746622e-05,2.998416232599408e-07,2.345404739933822e-07,2.2902604690073103e-07,2.1772711468121872e-07,2.1630117658806025e-07,2.0235503945585696e-07
