,Preselections,n(good vertex) > 0,No b-tagged jets
DY-M4to50,355.3310703712196,204.58085164504695,80.9435858183465
DY-M50,4144.21710346463,2159.7723828653006,914.8007553687644
SingleTop,3467.544397119086,1957.240569216169,595.0124612206105
ZJets,49623.76224876413,20883.935756493647,11898.729009129365
TTX,394.77209721947895,334.99326890120045,80.06292756468675
QCD,46583.79656446687,37077.71810545397,13063.264935934218
Multiboson,4362.918680339711,2206.0994630771606,1039.8731824518923
TTbar,20615.754486871563,16489.414283391143,4496.092504740739
WJets,169523.9091901544,76257.03717918399,38774.23506708765
ZGamma,1609.7063743964527,635.9934202385319,313.6670059273319
Total,300681.7122131676,158206.78528046614,71256.6814352436
