,Preselections,n(good vertex) > 0,No b-tagged jets
DY-M50,4144.21710346463,125.38906272636224,86.89615745174765
ZGamma,1609.7063743964527,53.11782731919174,41.85917712625688
QCD,46583.79656446687,498.637978732431,164.56180252580327
TTX,394.77209721947895,8.11801403479059,2.587555268156662
ZJets,49623.76224876413,951.4349821752093,712.987907826468
TTbar,20615.754486871563,401.40778348011975,171.2274903639747
Multiboson,4362.918680339711,63.913086848196095,39.55257235833142
DY-M4to50,355.3310703712196,10.516917081538443,6.858439862928909
SingleTop,3467.544397119086,68.4184144535811,39.071349409923776
WJets,169523.9091901544,2333.4636294473335,1653.4636723261422
Total,300681.7122131676,4514.417696298753,2919.0661245197334
