,Preselections,n(good vertex) > 0,No b-tagged jets
DY-M50,4144.21710346463,2110.118229543816,1405.7887252400724
SingleTop,3467.544397119086,1760.6663590750948,930.9141163832505
ZJets,49623.76224876413,17828.61637412867,13297.65704786469
Multiboson,4362.918680339711,2019.770775152625,1344.2879186108603
TTbar,20615.754486871563,9835.501715388742,4071.725564602776
QCD,46583.796564466866,8975.803833529677,3836.16149617466
WJets,169523.9091901544,75804.04243990831,54850.079399276314
DY-M4to50,355.3310703712196,136.07778726417325,86.70238741107073
TTX,394.77209721947895,184.2785504488373,65.22917196790647
ZGamma,1609.7063743964527,612.3017410755809,453.7553078642948
Total,300681.7122131676,119267.17780551554,80342.30113539589
