,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",min(dxy_refit) > 0.00001,min(dxy_refit) > 0.00005,min(dxy_refit) > 0.0001,min(dxy_refit) > 0.0005,min(dxy_refit) > 0.001,min(dxy_refit) > 0.005,Vtx cos(collinear) < 0
ZJets,0.0024215919063650454,1.0118972325082247e-05,6.04410676452281e-06,5.670280911739172e-06,5.571995751361659e-06,5.518268886413124e-06,3.7818793514418136e-06,3.7818793514418136e-06,3.7818793514418136e-06,3.7818793514418136e-06,3.7818793514418136e-06,3.7818793514418136e-06,3.7818793514418136e-06,1.805577755876559e-06
DY-M50,0.00039402810044574367,3.619583749075322e-06,1.8944742766919921e-06,1.7921091720558228e-06,1.7911412726419712e-06,1.7839090217724633e-06,1.1384428683609464e-06,1.1384428683609464e-06,1.1384428683609464e-06,1.1384428683609464e-06,1.1384428683609464e-06,1.1384428683609464e-06,1.1384428683609464e-06,5.285310243914123e-07
TTX,0.0013833511831680746,1.9432685130040764e-05,3.4924255067427194e-06,3.419763953399482e-06,3.3695815654951744e-06,3.7400537368253543e-06,1.707833078660923e-06,1.707833078660923e-06,1.707833078660923e-06,1.707833078660923e-06,1.707833078660923e-06,1.707833078660923e-06,1.707833078660923e-06,2.141702836440419e-06
ZGamma,0.0003246784514825821,2.8791227316099684e-06,1.3817028329639622e-06,1.2152716160905406e-06,1.2152716160905406e-06,1.2152716160905406e-06,9.472919061454853e-07,9.472919061454853e-07,9.472919061454853e-07,9.472919061454853e-07,9.472919061454853e-07,9.472919061454853e-07,9.472919061454853e-07,1.9858198414702175e-07
Multiboson,0.00065832021677796,3.0442311320901246e-06,1.5163029612476403e-06,1.4118583080937703e-06,1.3701103176830682e-06,1.3683076208178654e-06,1.0282562999116278e-06,1.0282562999116278e-06,1.0282562999116278e-06,1.0282562999116278e-06,1.0282562999116278e-06,1.0282562999116278e-06,1.0282562999116278e-06,4.2168635356159864e-07
SingleTop,0.00023554460795804577,1.5046388021057613e-06,6.414660098495136e-07,5.752944482345444e-07,5.752944482345444e-07,5.729405049515854e-07,3.066652890978089e-07,3.066652890978089e-07,3.066652890978089e-07,3.066652890978089e-07,3.066652890978089e-07,3.066652890978089e-07,3.066652890978089e-07,6.552245152467738e-08
QCD,2.4876471605028946e-06,1.4325568304569385e-08,4.001611093819541e-09,4.001611093819541e-09,4.001611093819541e-09,3.94825371268227e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DY-M4to50,2.642188339816149e-05,2.5627359025356985e-07,1.5710467132804398e-07,1.5564563305981006e-07,1.5564563305981006e-07,1.5382339954766102e-07,7.928560917368302e-08,7.928560917368302e-08,7.928560917368302e-08,7.928560917368302e-08,7.928560917368302e-08,7.928560917368302e-08,7.928560917368302e-08,2.934452716350437e-08
WJets,0.0010131776773887344,3.799644907697046e-06,2.1141290316345113e-06,2.002820829827034e-06,1.986577477483459e-06,1.972566963682794e-06,1.2118487818246137e-06,1.2118487818246137e-06,1.2118487818246137e-06,1.2118487818246137e-06,1.2118487818246137e-06,1.2118487818246137e-06,1.2118487818246137e-06,5.626092398699856e-07
TTbar,0.0004435925093703917,5.307228052091262e-06,1.907377875477486e-06,1.7813671508361222e-06,1.758465930642533e-06,1.7482944403260084e-06,1.111690414262054e-06,1.111690414262054e-06,1.111690414262054e-06,1.111690414262054e-06,1.111690414262054e-06,1.111690414262054e-06,1.111690414262054e-06,4.4229301036212843e-07
Total,1.695757443074662e-05,8.075395545165008e-08,3.872377583122798e-08,3.671942272839055e-08,3.6376312976381054e-08,3.609698656254194e-08,2.0427807821370143e-08,2.0427807821370143e-08,2.0427807821370143e-08,2.0427807821370143e-08,2.0427807821370143e-08,2.0427807821370143e-08,2.0427807821370143e-08,9.260042857189832e-09
