,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT
ZGamma,0.0003246784514825821,1.0848804242259678e-05,9.512429708363877e-06,8.471088395514421e-06,7.08657249265458e-06,7.210079023073604e-06,7.228762887337935e-06,-1.6104433652857688e-07
Top,0.00039884940443411364,8.719298802066127e-06,5.332980577491684e-06,4.768603177518302e-06,4.450365124748495e-06,4.394482223177423e-06,4.135300239079419e-06,5.6783288164145455e-08
Multiboson,0.0006583202167779597,2.550476202951549e-05,1.9429967854086172e-05,1.770159135551069e-05,1.5331314886888746e-05,1.4723498667001719e-05,1.4339467449403598e-05,6.032504454253076e-08
QCD,2.4876471605028946e-06,6.699463890803315e-09,3.427115692283461e-09,2.015957854365578e-09,2.015957854365578e-09,1.808657529470419e-09,7.472387222814908e-10,0.0
WJets,0.0010131776773887344,1.9981118700655388e-05,1.6058798254264e-05,1.5388100742395406e-05,1.5183377606017765e-05,1.5111069110046927e-05,1.4171135932711939e-05,2.2480759291785055e-07
ZJets,0.0024215919063650454,4.0922591547254484e-05,3.3572420320658524e-05,3.211521541411422e-05,3.1881829255143e-05,3.17897467962295e-05,3.004942817778337e-05,7.323954674890506e-07
DY,0.00018700921571001666,9.114535265538721e-06,7.220624845450099e-06,7.020330870810806e-06,6.97234397310387e-06,6.919199340186362e-06,6.372319397024729e-06,2.9441063303235096e-07
Total,1.695757443074662e-05,2.998416232599407e-07,2.3454047399338216e-07,2.2210364558592143e-07,2.1772711468121867e-07,2.163011765880602e-07,2.0235503945585698e-07,3.6377919345461026e-09
