,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx prod_eta > 0,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.0086957118506529,2.71741073182052e-05,1.3579746960414769e-05,1.3579746960414769e-05,1.3579746960414769e-05,1.3579746960414769e-05,1.018045483846386e-05,6.776683610125546e-06,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.007935007594372129,2.9105851270162745e-05,8.296407631294521e-06,8.296407631294521e-06,8.296407631294521e-06,8.296407631294521e-06,8.296407631294521e-06,8.296407631294521e-06,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009219166525293664,5.8442506747533625e-05,2.7230527187164486e-05,2.3346289165774777e-05,2.3346289165774777e-05,2.3346289165774777e-05,1.7507767605092397e-05,1.7507767605092397e-05,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.010149751618313135,8.107016372880422e-05,2.9303679595533162e-05,2.028469689078046e-05,2.028469689078046e-05,2.028469689078046e-05,1.1242544527431473e-05,1.1242544527431473e-05,10.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.01160017902503434,8.676076760965373e-05,2.4826672192533002e-05,2.4826672192533002e-05,2.4826672192533002e-05,2.4826672192533002e-05,1.7369197880129308e-05,1.489243283093672e-05,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.012962543630708104,8.81813644659328e-05,2.8570362928035243e-05,2.8570362928035243e-05,2.8570362928035243e-05,2.8570362928035243e-05,1.6676312777610308e-05,1.6676312777610308e-05,20.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014635395689093736,9.805986488735178e-05,2.796731224236068e-05,2.564372603954515e-05,2.564372603954515e-05,2.564372603954515e-05,1.634037773977967e-05,1.4011824744682935e-05,30.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.0169622505714537,0.000114628944433692,3.98639349979864e-05,3.98639349979864e-05,3.736605888115044e-05,3.736605888115044e-05,3.2385154438362675e-05,3.2385154438362675e-05,30.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.019488795534179218,0.0001317414424005582,4.132472136006331e-05,3.8747248755471415e-05,3.8747248755471415e-05,3.8747248755471415e-05,3.102654241937105e-05,2.8444606161094623e-05,40.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.02218388623492197,0.00017750969155585412,8.21239349758799e-05,7.227699502799722e-05,7.227699502799722e-05,7.227699502799722e-05,2.9585601463626875e-05,2.6298682520380644e-05,40.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.024166060405715468,0.00017309879246080965,5.772992506974674e-05,5.4989355831994076e-05,5.4989355831994076e-05,5.4989355831994076e-05,3.0242059606662992e-05,2.7482522548180896e-05,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.02880489731345379,0.0001775357353330004,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.029880774305221576,0.00026810983268313207,0.00010467060230986657,0.00010139130099145843,0.00010139130099145843,0.00010139130099145843,6.867001647661855e-05,5.2319105008878625e-05,60.0,0.1,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.035815052291631365,0.0002561639621956045,0.00010174371542602469,9.845674910631593e-05,9.845674910631593e-05,9.845674910631593e-05,7.549137388688571e-05,6.23905053727721e-05,70.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.041925656120466885,0.00033609010535676345,0.00013656587100706715,0.0001330664375408517,0.0001330664375408517,0.0001330664375408517,7.698700697981614e-05,6.648091297847311e-05,70.0,0.2,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.04129659367290283,0.0002614387946836456,8.042947351853453e-05,7.707995881002865e-05,7.707995881002865e-05,7.707995881002865e-05,5.363771359231912e-05,5.028375035569341e-05,80.0,0.1,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.04856860500768175,0.0003467844918298092,0.00015206776327096182,0.00014407668357399893,0.00014407668357399893,0.00014407668357399893,8.535787867465282e-05,7.736140609795865e-05,90.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.057554679257734796,0.00045629902745833624,0.00017441865155786424,0.00016630900315795072,0.00016630900315795072,0.00016630900315795072,0.0001074915926922565,9.532831116154398e-05,90.0,0.2,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.06372560687983093,0.0005470363873016396,0.00020176592542103032,0.00017847232871006714,0.00017847232871006714,0.00017847232871006714,0.00011250311266621206,0.00010083734510951,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.055955939869869,0.00041976043828958825,0.00017812301443124009,0.00015262441039178226,0.00015262441039178226,0.00015262441039178226,0.00010171311255865286,8.89315575656287e-05,100.0,0.1,1.0
