,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx prod_eta > 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,109.09253054976737,0.16387895340138034,0.12286165479777172,0.08185034451488654,0.08185034451488654,0.08185034451488654,0.08185034451488654,0.04101671059380262,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,3.7075751571633013,0.02575732534488062,0.019301883372025774,0.012883675720894338,0.012883675720894338,0.012883675720894338,0.006463189171452795,0.006463189171452795,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,2.2704102089667417,0.005069767937136481,0.002535588820761809,0.0012706899728589178,0.0012706899728589178,0.0012706899728589178,0.0012706899728589178,0.0012706899728589178,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,67.8599424725068,0.14446581171243664,0.08257170916634603,0.06188402868315514,0.06188402868315514,0.06188402868315514,0.04131439226028374,0.020575920559265378,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2.2102147462498336,0.009425972174315041,0.004717411027113211,0.004717411027113211,0.004717411027113211,0.004717411027113211,0.0018849217932413492,0.0009409149431072365,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,61.34036039436957,0.1657948392367014,0.04726667544357482,0.04726667544357482,0.04726667544357482,0.04726667544357482,0.04726667544357482,0.04726667544357482,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,499.781068196849,1.8592556486535643,0.46568949938125487,0.46568949938125487,0.46568949938125487,0.46568949938125487,0.23268829428054522,0.0,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,8129.511234527138,26.75423981481405,11.019527497578693,11.019527497578693,11.019527497578693,11.019527497578693,9.457507314858109,9.457507314858109,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,1.3904652249128409,0.004035571209926023,0.0024851127599894965,0.0024851127599894965,0.0024851127599894965,0.0024851127599894965,0.0015536850285024048,0.0012439228005820756,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,38.618756726754604,0.1666333697495217,0.05122877235233461,0.05122877235233461,0.044852512775538894,0.044852512775538894,0.0256058514639249,0.0256058514639249,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.5908909412654111,0.0018683282723776333,0.00037419358730303714,0.0001870855965743263,0.0001870855965743263,0.0001870855965743263,0.0001870855965743263,0.0001870855965743263,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,16.199980161667,0.0702726431065144,0.016192130450345347,0.016192130450345347,0.016192130450345347,0.016192130450345347,0.008099296513957093,0.008099296513957093,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,10.480328864430055,0.02766718323978584,0.009198547567416658,0.006120956016824941,0.006120956016824941,0.006120956016824941,0.006120956016824941,0.006120956016824941,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.2756084792402268,0.0007534233585777233,0.000376787079185018,0.000376787079185018,0.000376787079185018,0.000376787079185018,0.0002513291890032154,0.0002513291890032154,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,7.76941494583834,0.035413130516549485,0.016777061257892852,0.014909517562561335,0.014909517562561335,0.014909517562561335,0.011171092156968954,0.007458913898685917,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,5.8455426810435,0.027020154569870797,0.011038265132416921,0.011038265132416921,0.011038265132416921,0.011038265132416921,0.008588640837929467,0.0061316152169332205,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.2204424382404273,0.0009883005759983938,0.00045273103577921433,0.00037046456384240737,0.00037046456384240737,0.00037046456384240737,0.00024706905638871,0.00020594129927010613,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.16991947802670063,0.0005240624906849492,0.00019826291174709202,0.00018412826023452678,0.00018412826023452678,0.00018412826023452678,0.0001273741708342551,8.490367702836186e-05,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,4.551906298521432,0.01966367178872328,0.008338673146727833,0.0070025119302170044,0.0070025119302170044,0.0070025119302170044,0.0030016710673146743,0.002002109809054628,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.13850063448582392,0.0006202339773775099,0.0001655565280814191,0.00014484538219976565,0.00014484538219976565,0.00014484538219976565,0.00012421275548546028,6.190418229548388e-05,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,3.5934729088050124,0.012038281579261602,0.005691264909315854,0.00503510015343601,0.00503510015343601,0.00503510015343601,0.0035014406794821496,0.0024044157954082016,100.0,0.1,100.0
