,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx prod_eta > 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.0018130384357196879,2.723548897664211e-06,2.0418712564639405e-06,1.36029313679445e-06,1.36029313679445e-06,1.36029313679445e-06,1.36029313679445e-06,6.816678689053806e-07,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.0019586069741226865,1.3606865651195267e-05,1.019663844524117e-05,6.806081077149514e-06,6.806081077149514e-06,6.806081077149514e-06,3.4143198316085027e-06,3.4143198316085027e-06,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0024400462509508495,5.448560880912556e-06,2.7250379564089456e-06,1.3656308856214526e-06,1.3656308856214526e-06,1.3656308856214526e-06,1.3656308856214526e-06,1.3656308856214526e-06,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0022842914550260133,4.862987017293965e-06,2.7795167930181367e-06,2.083131119375586e-06,2.083131119375586e-06,2.083131119375586e-06,1.3907190276206661e-06,6.92623627434792e-07,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.0038819864239690856,1.6555629300495672e-05,8.285586545202395e-06,8.285586545202395e-06,8.285586545202395e-06,8.285586545202395e-06,3.3106469966422305e-06,1.652608209880733e-06,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.003372586587620071,9.115653176984759e-06,2.5987939199819853e-06,2.5987939199819853e-06,2.5987939199819853e-06,2.5987939199819853e-06,2.5987939199819853e-06,2.5987939199819853e-06,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.005511991762719819,2.0505382200936584e-05,5.136002237610922e-06,5.136002237610922e-06,5.136002237610922e-06,5.136002237610922e-06,2.566275601400975e-06,0.0,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.00469163139070011,1.5440169492157835e-05,6.359491933383174e-06,6.359491933383174e-06,6.359491933383174e-06,6.359491933383174e-06,5.458032705301392e-06,5.458032705301392e-06,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007600666077795009,2.20595442807522e-05,1.3584311147034757e-05,1.3584311147034757e-05,1.3584311147034757e-05,1.3584311147034757e-05,8.492870501278758e-06,6.79962480498036e-06,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006562565823287944,2.8316355833897715e-05,8.705412061479433e-06,8.705412061479433e-06,7.621880981616817e-06,7.621880981616817e-06,4.351255709299544e-06,4.351255709299544e-06,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.010142894766676572,3.2070650830676844e-05,6.42319235805499e-06,3.2114039764267707e-06,3.2114039764267707e-06,3.2114039764267707e-06,3.2114039764267707e-06,3.2114039764267707e-06,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008691591813399483,3.770258503005932e-05,8.687380296719835e-06,8.687380296719835e-06,8.687380296719835e-06,8.687380296719835e-06,4.3454237951215255e-06,4.3454237951215255e-06,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.010902428863361834,2.8781491594707295e-05,9.569023243190371e-06,6.367480296891392e-06,6.367480296891392e-06,6.367480296891392e-06,6.367480296891392e-06,6.367480296891392e-06,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.015447285747093137,4.222782238256339e-05,2.1118137199655744e-05,2.1118137199655744e-05,2.1118137199655744e-05,2.1118137199655744e-05,1.4086481699766196e-05,1.4086481699766196e-05,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013601852050778919,6.19974818308607e-05,2.9371465762547217e-05,2.6101972085179556e-05,2.6101972085179556e-05,2.6101972085179556e-05,1.9557140894643377e-05,1.3058260373101639e-05,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.015945853802788696,7.370734558095794e-05,3.0110901868655848e-05,3.0110901868655848e-05,3.0110901868655848e-05,3.0110901868655848e-05,2.3428656437734892e-05,1.672622118408993e-05,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.019252896550562674,8.631572442419606e-05,3.954040731294992e-05,3.235545741663434e-05,3.235545741663434e-05,3.235545741663434e-05,2.157839942919218e-05,1.798640299020554e-05,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.022130613659055123,6.825482663458004e-05,2.5822112648585045e-05,2.3981190610319327e-05,2.3981190610319327e-05,2.3981190610319327e-05,1.6589437524239796e-05,1.105800521734544e-05,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018508212315340073,7.995318631296729e-05,3.390534051151162e-05,2.8472461655736765e-05,2.8472461655736765e-05,2.8472461655736765e-05,1.2204900929687241e-05,8.140649432226786e-06,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.025906769702760013,0.00011601577764173102,3.096761875291513e-05,2.7093565116784093e-05,2.7093565116784093e-05,2.7093565116784093e-05,2.3234198619042642e-05,1.1579278321146775e-05,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.02107545962410326,7.060365384852293e-05,3.3378858516634626e-05,2.953049951400506e-05,2.953049951400506e-05,2.953049951400506e-05,2.0535697232001293e-05,1.410172535084815e-05,100.0,0.1,100.0
