,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT
Multiboson,0.000309464752845356,2.702128073008051e-06,2.702128073008051e-06,2.702128073008051e-06,2.392345165065262e-06,2.3327722841763474e-06,2.2910242893764355e-06,2.2163987475033865e-06,0.0
ZJets,0.001343183528384212,1.8343348744158355e-05,1.8343348744158355e-05,1.8343348744158355e-05,1.72794660607339e-05,1.721259020471971e-05,1.7161728994661376e-05,1.6107837883490668e-05,3.822521334304282e-07
QCD,4.432895859274569e-07,3.748151973292173e-09,3.748151973292173e-09,3.748151973292173e-09,3.748151973292173e-09,3.748151973292173e-09,3.544545447027397e-09,3.7510735023462124e-10,0.0
Top,9.060851788117953e-05,1.5149300298094385e-06,1.5149300298094385e-06,1.5149300298094385e-06,1.3117342453383646e-06,1.2314304806973747e-06,1.2310457472175263e-06,9.446632910712399e-07,2.0062951960566673e-08
WJets,0.0005326438573211258,3.9086058881657435e-06,3.9086058881657435e-06,3.9086058881657435e-06,3.7124250796644087e-06,3.698385591906864e-06,3.691372231581658e-06,3.326185627630194e-06,8.504051023909536e-08
DY,5.889175603910551e-06,9.447875300391258e-08,9.447875300391258e-08,9.447875300391258e-08,8.398111378125563e-08,8.398111378125563e-08,8.398111378125563e-08,7.348347455859868e-08,2.0995278445313907e-08
Total,6.311043631534972e-06,5.756915525559149e-08,5.756915525559149e-08,5.756915525559149e-08,5.433411779191009e-08,5.398056359750925e-08,5.366354310613742e-08,4.592168838255628e-08,1.3883065985819782e-09
