,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.003914504301875276,0.0008308992327371845,0.0008308992327371845,0.0007992340510465513,0.0007992340510465513,0.0007992340510465513,0.0007856442977154921,0.00026483154311512274,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.004723364531780635,0.001321506406593092,0.001321506406593092,0.0012663151972045546,0.0012663151972045546,0.0012663151972045546,0.0012525422211653952,0.0008627058438605048,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006407669141315798,0.0022149688587115514,0.0022149688587115514,0.0021345514231430242,0.0021345514231430242,0.0021345514231430242,0.0021077419229591473,0.0018592803982099696,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005471125943492917,0.00161192577965141,0.00161192577965141,0.0015621953845533787,0.0015621953845533787,0.0015621953845533787,0.0015497605773881213,0.0011284447162800903,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009330421637200286,0.003902191857413424,0.003902191857413424,0.003760610713836445,0.003756782846624196,0.003756782846624196,0.00371854305651542,0.00349096327834605,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.008252046925931598,0.0029846024768239343,0.0029846024768239343,0.0028771957334929824,0.0028746901765146636,0.0028746901765146636,0.0028447314082626126,0.002569888145469079,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.01215010978303565,0.005398860365339045,0.005398860365339045,0.005242035330658836,0.005242035330658836,0.005242035330658836,0.005174827750866542,0.004943448317862754,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.0106542249533897,0.0041987371211509245,0.0041987371211509245,0.004097876438374834,0.004092067531261083,0.004092067531261083,0.0040319063212896755,0.003707885735596057,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016482953969930686,0.007629987510310098,0.007629987510310098,0.007384664813260596,0.007381938204749519,0.007381938204749519,0.007294743963618013,0.006856015060883847,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014083971407112558,0.005938812784200567,0.005938812784200567,0.005790956030955588,0.005790956030955588,0.005790956030955588,0.005723768632273441,0.00534497648053625,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.020871537681822552,0.009702149458666638,0.009702149458666638,0.009348563737294374,0.009348563737294374,0.009348563737294374,0.009184733003088108,0.008528591806043716,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.01830919283492869,0.007718541052390126,0.007718541052390126,0.007441969109363305,0.007441969109363305,0.007441969109363305,0.007343446150801324,0.006831206280437138,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.022329383100961626,0.00959418874134654,0.00959418874134654,0.009252706327369221,0.009245283417091688,0.009245283417091688,0.009171123105952562,0.008324803755903902,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.03186001374884067,0.015719649562777507,0.015719649562777507,0.015123958553007034,0.015115456583335305,0.015115456583335305,0.014932419085310514,0.012595640257523116,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.027152762609771817,0.012352892024094567,0.012352892024094567,0.011915489318329356,0.011908782701748017,0.011908782701748017,0.011784253248382148,0.01046810879090143,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.03185295592730576,0.014480104635288964,0.014480104635288964,0.013979351145113453,0.013975974141066286,0.013975974141066286,0.013830522276614866,0.012017095319090221,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.03743319335924303,0.0187779821606606,0.0187779821606606,0.018093854350257132,0.018093854350257132,0.018093854350257132,0.017858747800823305,0.01442503486462185,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.04386921699215527,0.022407666273023437,0.022407666273023437,0.02167259833543523,0.021666746442213013,0.021666746442213013,0.021378145344405228,0.016606305881990784,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.036601162561717304,0.017367601704117483,0.017367601704117483,0.016802897543440876,0.016791019736744815,0.01678983109629912,0.016596028967644838,0.013950485039242589,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.04983007866872785,0.025623509299531905,0.025623509299531905,0.02482405980884678,0.024805396343890115,0.024805396343890115,0.02447299243157874,0.018422976918918088,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.04193542708630508,0.01983735677511605,0.01983735677511605,0.019163957895524355,0.019160784348476144,0.019160784348476144,0.018908848362199786,0.015551047235247667,100.0,0.1,10.0
