,Preselections,0 < NJet < 3,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1620.1784519502303,1553.0300391260375,714.529650508384,714.529650508384,687.9354495992741,687.9354495992741,680.3314229710669,656.2454408595049,629.6532954869886,425.6844216924113,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33765.06921738768,32297.84273743979,11685.782554340074,11685.782554340074,11173.14111415803,11173.14111415803,10978.448730995633,10359.829307548935,9688.349701446761,5126.963032647771,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,22229.424480690275,21134.841279132783,9901.634977935439,9887.543391863113,9535.07283572225,9535.07283572225,9422.395279892686,8975.88548289113,8454.076411003776,5503.072329332951,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,937.0398565433222,887.122182664246,499.5261109859543,499.31735821232036,479.1319865580494,479.1319865580494,474.5552818658032,461.02801330335956,441.2704515885867,311.03559220870824,10.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,17929.361593492533,17124.145910405285,8851.465148710178,8828.42746345289,8552.351667470837,8552.351667470837,8441.244473098875,8180.33949774449,7789.321223247325,5377.291800124523,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,734.2811552959238,698.3663598377973,421.4101879359744,421.2750490814188,404.39405244588363,404.39405244588363,399.93934565781325,388.06371705885044,370.37314164962265,263.96078417403504,20.0,0.2,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,38528.39999214091,36756.20820513302,22915.186718175635,22892.514184127827,22077.372512112564,22077.372512112564,21771.379926294703,21199.800116883747,20209.56806462822,14146.200811055063,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,20174.85110589185,19224.708877820205,10418.834238304185,10405.947324160104,10128.97034953195,10128.97034953195,10048.444982135064,9726.393201420356,9188.78689132401,6126.88996310514,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,403.5456031210444,385.4708057653535,244.85874855548138,244.4995849843954,236.36164642875002,236.36164642875002,232.8918725566417,227.14683763764074,215.41907826868317,145.35356236866582,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9916.801948033773,9509.340287013303,5387.44846984937,5383.498193637736,5178.416676355301,5178.416676355301,5132.40265635184,4964.18277915176,4685.497314793193,3121.6015060331383,40.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,167.4818251469007,159.47833753923308,107.2824412944787,107.2824412944787,103.14512437125391,103.14512437125391,102.37185841435786,99.01489402886276,92.03217900297909,59.45004919282199,50.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4184.654042712488,3993.3821730786512,2237.373304780702,2234.040144829636,2160.760091757154,2160.760091757154,2126.513122482289,2065.1446140040257,1939.5322058189606,1277.1692023848314,50.0,0.1,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2725.2304064523964,2577.6066127640634,1478.2941077057135,1477.9959652896052,1424.904848708131,1424.904848708131,1406.4191953115826,1361.3700409571873,1261.7543533291323,777.7469665353659,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,74.71318892044536,70.81404598410872,45.90885488036621,45.890093648591915,44.180588077157225,44.17437055182661,43.58202751722276,42.46545956897937,37.157138662189695,20.612591997085065,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1964.273334885629,1881.3988762191489,1102.752574203522,1102.0333048285313,1064.7355273217945,1064.7355273217945,1050.856378377816,1018.255544535266,934.1112933040822,552.6471287102452,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1457.7156063883403,1391.1329931149342,827.0444945800875,825.9792219909363,797.3671980114311,797.3671980114311,787.3198152171228,767.1019915704602,689.5404460033376,393.0013162641566,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,44.16909636875993,41.86608041244109,27.517997212548845,27.489986006695602,26.56573566779885,26.56573566779885,26.225088117425383,25.56678550724066,21.373189882678727,10.135637529423873,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1156.9314549201938,1103.4899225730228,666.7772938501225,666.1743145468051,642.8488899622911,642.8488899622911,635.0340553124095,617.682933810892,546.6916994676274,304.24008054522113,90.0,0.1,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,928.4856647707716,883.7356049943764,540.0954584098763,539.0391972628709,520.8846807900942,520.8846807900942,512.6492994849741,502.1014267741489,438.1458674471549,226.448985613951,100.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,34.02457396365492,32.12858778722909,21.272407312695346,21.243395331732028,20.53042976600314,20.53042976600314,20.292204466376244,19.83417406419221,16.13110037078811,7.285339187307695,100.0,0.2,1.0
