,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.004011845679950761,0.00093729937720938,0.00093729937720938,0.0008988269217194301,0.0008988269217194301,0.0008784618165721526,0.0,0.0,0.0,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.0048751390699744036,0.0014906217707637347,0.0014906217707637347,0.0014457961661771459,0.0014457961661771459,0.0014320039435370814,6.915881018474993e-06,6.915881018474993e-06,0.0,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005590821375733521,0.0018233412666877097,0.0018217905486116617,0.0017627307582478643,0.0017627307582478643,0.001740989075321663,4.665229262225227e-06,4.665229262225227e-06,3.1113886612245703e-06,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006618594149625248,0.002524370008959676,0.0025207757969431806,0.0024385534276762247,0.0024385534276762247,0.002402803990851856,5.372295239728348e-06,5.372295239728348e-06,5.372295239728348e-06,10.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.00838707740204745,0.0033796502445655233,0.0033721409058675416,0.003254685989784791,0.0032521697164601252,0.0032021898051349806,2.491488652543858e-06,2.491488652543858e-06,2.491488652543858e-06,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009596320516126619,0.004332462660448376,0.004324813629655258,0.004185160829848808,0.004183251924048334,0.004118238849394416,1.5308198458429215e-05,1.5308198458429215e-05,1.5308198458429215e-05,20.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.010848149608519684,0.00473825891808659,0.004728579094423836,0.004608292963527363,0.004606366785768967,0.004534542207331742,7.805939115205091e-06,7.805939115205091e-06,7.805939115205091e-06,30.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.012458557745550226,0.006028080981572042,0.006028080981572042,0.005848849851023854,0.005848849851023854,0.00575677148907132,1.741921062325596e-05,1.741921062325596e-05,1.741921062325596e-05,30.0,0.2,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016848151349537672,0.008515261263782974,0.00850706801364189,0.008259080178654116,0.008259080178654116,0.008152823700927547,7.35658960848728e-05,7.35658960848728e-05,6.811507473698226e-05,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014399855742523605,0.006667030865789936,0.006664787114117793,0.006487788015543531,0.006487788015543531,0.0063802948590459645,1.5690636272895103e-05,8.951181434815632e-06,8.951181434815632e-06,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.02142382529182928,0.011099752951582264,0.011099752951582264,0.01072036062980072,0.01072036062980072,0.010496141406802082,4.3111059025309726e-05,4.3111059025309726e-05,3.439763815862039e-05,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.01859775632679067,0.008509813735728006,0.008502597274874497,0.008211608516420024,0.008211608516420024,0.00807943699717213,1.4432900183411358e-05,1.4432900183411358e-05,1.2039703762717959e-05,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.02281195350167812,0.010774948876397811,0.010760097933061324,0.010418572341354895,0.010418572341354895,0.010299873836724649,5.560790666155255e-05,5.560790666155255e-05,5.560790666155255e-05,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.03275361876131357,0.017490407751086918,0.017486147495869776,0.016852047236391395,0.016852047236391395,0.01659238385687283,0.00013180315865498617,0.00011903969449639795,0.00010626430437856506,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.027670959677721357,0.013668991686807887,0.01365892126316227,0.013157561428408376,0.013157561428408376,0.012975847254949777,3.0309188405086675e-05,3.0309188405086675e-05,2.6928769218816997e-05,70.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.03833159187055411,0.021141036120608196,0.021134132718868687,0.02042928772306294,0.02042928772306294,0.020048988116265067,0.00015887641247595746,0.0001312479044615827,0.00011743867427805914,80.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.0325024795809986,0.01626041391144621,0.016257038375023576,0.01571557885084013,0.01571557885084013,0.015465307774718648,6.091680609050796e-05,5.7522597585451794e-05,4.7370356484413686e-05,80.0,0.1,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.045037154783835125,0.025020611463235688,0.024995255310409522,0.024182217510551374,0.024182217510551374,0.02380775582729599,0.000212550170138924,0.00019112745666907924,0.00016187778153119856,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.03735983713775695,0.019395000865794612,0.01937953994064449,0.01876845831985634,0.01876726752984756,0.01847469214424224,8.91701331633169e-05,8.678881342955777e-05,7.609158567467583e-05,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.051207728819284586,0.029017381211768275,0.028983768944492606,0.0280834539673269,0.0280834539673269,0.027598072748608746,0.000201777073297256,0.00018306334616859573,0.000149426748159986,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.042735772447414035,0.022215981261151888,0.02220330650452545,0.02147287637958126,0.021471300817193686,0.021073625282950974,8.56125206377745e-05,7.768606213675738e-05,6.659600628120219e-05,100.0,0.1,10.0
