,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1620.1784519502303,672.7064431311321,672.7064431311321,648.0190507968783,648.0190507968783,639.1477527049354,1.272066852406776,1.272066852406776,0.6335080378733662,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33765.06921738768,10484.603860028485,10484.603860028485,10078.067621853666,10078.067621853666,9900.999010123085,53.162532160218646,53.162532160218646,35.44765148537046,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,937.0398565433222,483.0832324081014,482.87443521898376,463.7300292574058,463.7300292574058,457.90609336592274,0.8310106647831865,0.8310106647831865,0.20757565487822685,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,22229.424480690275,9295.319462074318,9290.621118117939,8942.869580714341,8942.869580714341,8797.293279799676,18.7733639567146,18.7733639567146,4.696993735704028,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,734.2811552959238,409.6641364348561,409.5289975803005,393.8621916024305,393.8621916024305,388.0569009484981,2.0222830296889356,2.0222830296889356,1.483009515032784,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,17929.361593492533,8490.92765493523,8479.413142372981,8226.380227727896,8226.380227727896,8073.1247443921175,11.488447592258275,11.488447592258275,7.652174525088523,20.0,0.1,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,20174.85110589185,10003.579429189007,9990.691115358368,9716.964212919042,9716.964212919042,9588.218243895382,16.123739885216764,16.123739885216764,16.123739885216764,30.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,38528.39999214091,22207.557386489785,22179.2092019863,21381.227638626744,21381.227638626744,21035.50979501561,62.136359921339526,56.48430618110171,45.22410906157723,30.0,0.2,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,403.5456031210444,238.69607003330526,238.33690646221928,230.49898443194206,230.49898443194206,226.01347289902859,0.7186162945189596,0.6587443077534624,0.2397754785319325,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9916.801948033773,5107.500648602798,5103.550372391163,4915.576774268429,4915.576774268429,4864.294256900821,9.191403559409817,9.191403559409817,6.559684970058546,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4184.654042712488,2151.710691604265,2148.377531653199,2078.9018217223706,2078.9018217223706,2037.9947367368513,7.1454116028437475,6.193334142399076,2.8624771830175413,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,167.4818251469007,104.18185336095793,104.18185336095793,100.04453643773314,100.04453643773314,99.01422448287194,0.25857521241993237,0.0,0.0,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2725.2304064523964,1420.7189715424308,1420.4208291263226,1370.0161710243276,1370.0161710243276,1344.3693344563383,3.880935011889886,2.386343013424729,2.089245950706336,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,74.71318892044536,44.94219871156264,44.92343747978834,43.27014316648823,43.26392564115763,42.50304541506775,0.19970461222931501,0.19347346955617586,0.11854246832984908,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1964.273334885629,1056.097101378841,1055.5578179439199,1020.7820166174158,1020.7820166174158,1005.1009851168798,2.341446253593689,2.341446253593689,1.0807270102161486,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1457.7156063883403,797.01166277206,796.1827642027387,769.2262812974786,769.2262812974786,757.5219217515813,1.4177293741732,0.9457517492598045,0.591119416343199,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,44.16909636875993,26.740066887963653,26.71205568211041,25.801827309737583,25.801827309737583,25.397373184423376,0.10117718955725453,0.07939996455962489,0.04357916797602023,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1156.9314549201938,644.0541018097618,643.4193565204738,620.8575219025213,620.8575219025213,610.9151129517663,1.1752573358780805,1.0165458822380549,0.6674418071855991,90.0,0.1,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,928.4856647707716,520.473489324862,519.4172281778566,501.8960800070603,501.8960800070603,493.44937676219143,1.0554502585021068,0.8448644203461847,0.42338221789006963,100.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,34.02457396365492,20.766701373904773,20.74392119192542,20.053767649484563,20.053767649484563,19.747185883265278,0.09121618076907988,0.07253711314902717,0.03315537567640689,100.0,0.2,1.0
