,Preselections,0 < NJet < 3,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,109.09253054976737,103.42117628860748,14.949103712785291,14.949103712785291,14.127966243440056,14.127966243440056,13.59431526732172,10.514110095962616,8.665919577642528,5.339857448913086,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,3.7075751571633013,3.4497284570304108,0.5675493974609619,0.5675493974609619,0.5546406195498226,0.5546406195498226,0.5481931345872804,0.4643754078116613,0.3935246045031381,0.26444128026186287,5.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,67.8599424725068,64.13834763478576,13.497618900851283,13.497618900851283,12.77432495718657,12.77432495718657,12.62988616207936,11.017159505466191,9.61238935565877,7.4204887397427965,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,2.2704102089667417,2.145892097992737,0.5578980391685964,0.5578980391685964,0.5299324199537855,0.5299324199537855,0.5184913290767486,0.46133527420854703,0.4130638428323209,0.34312328112179963,10.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,61.34036039436957,58.317022833317374,16.092314447748553,16.044892216184852,15.500398274358682,15.500398274358682,15.169792594295531,13.682339156481802,12.737714021974218,11.154479699590702,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2.2102147462498336,2.0716184519221783,0.6411965829697321,0.6393095724731582,0.6223432495946585,0.6223432495946585,0.6081904643236707,0.5544139286089058,0.5242521643354714,0.46958124017365477,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,8129.511234527138,7728.419932983028,2325.9292606932936,2324.3455843435577,2270.867393956284,2270.867393956284,2233.104724594502,2030.0594952451777,1886.9278835663151,1634.9887631044953,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,499.781068196849,467.7033456156096,144.16653641229982,144.16653641229982,139.2814448538839,139.2814448538839,136.9528643440234,127.18574069750956,122.77146926125978,114.86903393763166,30.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,38.618756726754604,36.658974970241644,11.255913702907433,11.249494441297134,10.85250430001199,10.85250430001199,10.692411136483827,9.744515374543866,9.232175206800479,8.284102715633235,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,1.3904652249128409,1.306349339660547,0.44228137389578753,0.44197016911240844,0.4279990213799897,0.4279990213799897,0.418688060685545,0.38887242184526827,0.3718002487856053,0.33953282634494003,40.0,0.2,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.5908909412654111,0.5568690157247067,0.19870005856249956,0.19870005856249956,0.19252691023143698,0.19252691023143698,0.19028415619156036,0.1764425879103688,0.16466574688241223,0.14803010714367118,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,16.199980161667,15.310491066905332,4.995569587627899,4.9928762130598034,4.846836623151561,4.846836623151561,4.779269792237235,4.3738626139905055,4.171176412233914,3.757637662731897,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,10.480328864430055,9.985675494383925,3.299104078853688,3.299104078853688,3.182197135091786,3.182197135091786,3.1206930853785826,2.9178165516413324,2.767151859943859,2.5244585497058987,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.2756084792402268,0.25809024979881884,0.0995006432373998,0.09943760856813334,0.09579473187253465,0.09579473187253465,0.09366155753533756,0.08688188943407393,0.07690009355809728,0.0676716751657517,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,7.76941494583834,7.379925849178053,2.5390842314530566,2.5353476884094643,2.451567738405352,2.451567738405352,2.401247590054556,2.1999770681959654,2.0416547114140045,1.7976235101550333,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,5.8455426810435,5.532382912682109,2.053840597717548,2.0513881667227256,1.986307483134918,1.986307483134918,1.948237755503765,1.8033257234927258,1.644771885978322,1.4248942266231874,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.2204424382404273,0.20614803437354406,0.08464419372472676,0.08456201260109461,0.08188408718149971,0.08188408718149971,0.08023624136792669,0.0749238395121793,0.06495269780876022,0.0571269873239855,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,4.551906298521432,4.322313275285537,1.624640427820861,1.6236440056167725,1.5789795346683286,1.5789795346683286,1.5506571709099244,1.4549937123986825,1.3116912736753787,1.145087734363586,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.16991947802670063,0.15939627345490118,0.06665413817993068,0.06654089068782688,0.06397801718287573,0.06397801718287573,0.06288725678895617,0.05863803628012957,0.049362241325113375,0.04210992124331641,90.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,3.5934729088050124,3.4045969651546524,1.3383958747396334,1.336861494137255,1.2906714858899164,1.2906714858899164,1.2692236100718624,1.193050559673368,1.061691122249051,0.9161419940269352,100.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.13850063448582392,0.1297897534010587,0.05585425333598405,0.055833519575517986,0.053765484472957044,0.053765484472957044,0.05281420047202795,0.04937924694609896,0.040690904531689796,0.03394878566762629,100.0,0.2,100.0
