,Preselections,0 < NJet < 3,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.0018130384357196879,0.0017187846567831477,0.000248443220395142,0.000248443220395142,0.0002347965134626876,0.0002347965134626876,0.0002259276227505,0.00017473685526684564,0.00014402127438004625,8.874454325474576e-05,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.0019586069741226865,0.0018223938634702793,0.00029982027630066124,0.00029982027630066124,0.0002930009344471834,0.0002930009344471834,0.0002895949107044717,0.00024531637897986,0.00020788790575952437,0.00013969684060648803,5.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0022842914550260133,0.0021590156740994475,0.00045435487262465425,0.00045435487262465425,0.0004300074577170339,0.0004300074577170339,0.00042514538012875235,0.0003708580113693894,0.0003235708441163258,0.00024978740627696044,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0024400462509508495,0.0023062246408040755,0.0005995819669546354,0.0005995819669546354,0.0005695268676377269,0.0005695268676377269,0.000557230943847811,0.0004958044153511101,0.0004439263341601366,0.0003687600911978923,10.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.003372586587620071,0.003206358876489953,0.000884779996747837,0.0008821726501150736,0.0008522355425820067,0.0008522355425820067,0.0008340583379616971,0.0007522758788788447,0.0007003389479823397,0.0006132903097545714,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.0038819864239690856,0.003638558072083696,0.0011261875953036955,0.0011228732797413654,0.0010930738970385014,0.0010930738970385014,0.0010682161675456797,0.0009737639058697417,0.0009207882574034125,0.0008247651059236215,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.00469163139070011,0.004460157137627064,0.0013423196570133392,0.0013414056997703041,0.0013105428410447805,0.0013105428410447805,0.001288749584370024,0.0011715699232236914,0.001088967077495155,0.0009435702077443742,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.005511991762719819,0.005158212570417636,0.0015899857192098689,0.0015899857192098689,0.0015361089596774027,0.0015361089596774027,0.001510427481514397,0.0014027077047743832,0.0013540235321569548,0.001266869053564124,30.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006562565823287944,0.00622953602464906,0.0019127408761298666,0.0019116500376248219,0.001844188675473429,0.001844188675473429,0.0018169837105144167,0.0016559058079977597,0.0015688427754273447,0.0014077348409447406,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007600666077795009,0.007140865469922285,0.00241763186534996,0.0024159307342480115,0.002339560590834814,0.002339560590834814,0.0022886643139384357,0.0021256838160009315,0.00203236261362641,0.0018559799909124766,40.0,0.2,100.0
