,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.0086957118506529,0.0036105043753079376,0.0036105043753079376,0.0034780038783260884,0.0034780038783260884,0.0034303904491659086,6.8273508945767236e-06,6.8273508945767236e-06,3.40012135440283e-06,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.007935007594372129,0.002463949080562435,0.002463949080562435,0.0023684104599680056,0.0023684104599680056,0.0023267982017563874,1.2493535662890152e-05,1.2493535662890152e-05,8.330425207427807e-06,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.010149751618313135,0.00523262141484734,0.005230359782544992,0.0050229929730829384,0.0050229929730829384,0.004959909741001871,9.001273297843619e-06,9.001273297843619e-06,2.2484009877602106e-06,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009219166525293664,0.003855029989692528,0.0038530814545262395,0.003708859127243968,0.003708859127243968,0.0036484845475316424,7.785841181234373e-06,7.785841181234373e-06,1.9479751918602963e-06,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.012962543630708104,0.007231956321053987,0.0072295706636178025,0.006952998597758189,0.006952998597758189,0.00685051560081921,3.5700129053998235e-05,3.5700129053998235e-05,2.618012923894309e-05,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.01160017902503434,0.005493574345759914,0.005486124531866006,0.005322413900352246,0.005322413900352246,0.005223258610634153,7.432950029759586e-06,7.432950029759586e-06,4.950906587441008e-06,20.0,0.1,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014635395689093736,0.007256873544444804,0.0072475240046793515,0.007048954929402283,0.007048954929402283,0.006955559038144043,1.169660742325159e-05,1.169660742325159e-05,1.169660742325159e-05,30.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.0169622505714537,0.00977694773326728,0.009764467354925798,0.009413153435015649,0.009413153435015649,0.009260950055390465,2.7355729975778522e-05,2.4867395349767786e-05,1.9910057773738275e-05,30.0,0.2,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.02218388623492197,0.013121705258063492,0.013101961160397508,0.012671091466134717,0.012671091466134717,0.012424511954966716,3.9504090741853606e-05,3.6212781574333944e-05,1.318104297640154e-05,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.019488795534179218,0.01003741290316315,0.010029649702305101,0.009660238370019265,0.009660238370019265,0.009559456434402059,1.8063220943620983e-05,1.8063220943620983e-05,1.289128892762114e-05,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.024166060405715468,0.012425966404435952,0.01240671765796917,0.012005500690979451,0.012005500690979451,0.011769265371000405,4.1264211247937115e-05,3.576603596625663e-05,1.65305891021627e-05,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.02880489731345379,0.017918049229255294,0.017918049229255294,0.017206479546860356,0.017206479546860356,0.01702927805031248,4.447188484498364e-05,0.0,0.0,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.029880774305221576,0.01557746561145579,0.015574196630519186,0.015021535024692546,0.015021535024692546,0.014740330421472008,4.255249130823895e-05,2.6165045285770855e-05,2.2907526120854097e-05,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.041925656120466885,0.025219525437269116,0.02520899748413084,0.024281243631740057,0.024277754638261158,0.023850783133379003,0.00011206517910663339,0.00010856854419215032,6.652066167541873e-05,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.035815052291631365,0.019256063929170952,0.01924623104895073,0.01861215578006019,0.01861215578006019,0.018326239887804227,4.269213378869447e-05,4.269213378869447e-05,1.9705146781989726e-05,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.04129659367290283,0.022579072794322582,0.02255559037617236,0.021791922266624447,0.021791922266624447,0.021460341690653226,4.016379714039519e-05,2.6792829502172795e-05,1.6746214585278534e-05,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.057554679257734796,0.0348437278457805,0.034807227756327774,0.03362115182699857,0.03362115182699857,0.033094126613202456,0.00013183925350316849,0.00010346237231461434,5.6785971219297794e-05,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.04856860500768175,0.027037737751311595,0.027011090802518897,0.0260639328450204,0.0260639328450204,0.02564654516738364,4.933793535121778e-05,4.2675143126790686e-05,2.8019566207616665e-05,90.0,0.1,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.055955939869869,0.031366755974324104,0.03130309954162807,0.03024717336991039,0.03024717336991039,0.02973812596422406,6.360756384425413e-05,5.0916437912646004e-05,2.5515471940083624e-05,100.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.06372560687983093,0.038894554546308975,0.03885188888580672,0.037559280391155504,0.037559280391155504,0.03698507455006301,0.00017084141841068235,0.00013585685339279923,6.20976603135357e-05,100.0,0.2,1.0
