,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx cos_collinear_fromPV_refit < 0,Vtx cos_collinear_fromPV_refit > -0.99,Vtx cos_collinear_fromPV_refit > -0.98,Vtx cos_collinear_fromPV_refit > -0.97,Vtx cos_collinear_fromPV_refit > -0.96,Vtx cos_collinear_fromPV_refit > -0.95,Vtx cos_collinear_fromPV_refit > -0.9,Vtx cos_collinear_fromPV_refit > -0.85,Vtx cos_collinear_fromPV_refit > -0.8,Vtx cos_collinear_fromPV_refit > -0.75,Vtx cos_collinear_fromPV_refit > -0.7
SingleTop,46314,469,430,427,406,153,138,135,132,64,22,16,15,14,13,13,12,10,9,9,8
ZGamma,6511,92,88,88,84,43,39,39,39,21,6,4,4,4,4,4,4,4,4,4,4
DY-M4to50,25923,418,393,391,371,193,192,192,184,89,38,21,16,14,13,13,11,11,10,10,10
ZJets,729756,7752,7254,7212,6875,3958,3818,3805,3734,2222,1047,829,760,716,687,656,572,517,468,422,381
Multiboson,24553,237,219,217,206,103,99,96,94,61,23,15,14,12,12,12,11,10,9,8,8
QCD,31603,242,232,231,217,69,68,68,62,0,0,0,0,0,0,0,0,0,0,0,0
WJets,1171204,10037,9440,9375,8872,4136,4029,4018,3892,1885,877,668,623,594,574,562,473,429,389,346,311
DY-M50,272468,4534,4236,4194,4011,1587,1557,1555,1504,708,317,232,217,199,189,183,156,128,119,106,93
TTX,141391,3028,2798,2775,2657,792,759,740,718,453,196,161,151,139,138,136,115,104,99,91,83
TTbar,519733,11111,10309,10246,9798,3505,3280,3228,3203,1995,868,685,635,606,572,557,475,423,378,339,298
Total,2969456,37920,35399,35156,33497,14539,13979,13876,13562,7498,3394,2631,2435,2298,2202,2136,1829,1636,1485,1335,1196
