,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 70,BDT
Multiboson,0.00065832021677796,3.440744215688536e-05,3.0035939799566605e-05,2.7633318142558323e-05,2.6784289320496905e-05,2.5174134683300438e-05,1.7743543416433403e-05,7.209763082938051e-06,0.0
Top,0.0003988494044341136,1.2976555639676753e-05,1.2095030957991064e-05,1.0904842548504595e-05,1.0772742134733126e-05,9.846214376428786e-06,6.272795646615523e-06,2.9382447418443733e-06,3.767718323235581e-08
DY,0.00018700921571001666,1.1511126552312833e-05,1.141037090084174e-05,1.0944579460519236e-05,1.0829998730387396e-05,9.524588867087598e-06,7.601932496295897e-06,3.6687056113504106e-06,5.158383094388798e-08
WJets,0.0010131776773887344,3.7203495064303906e-05,3.664654695385394e-05,3.479842922367504e-05,3.4591858210596096e-05,3.1803906824493264e-05,1.6717294164348492e-05,7.709400439400795e-06,7.574941262795314e-08
ZGamma,0.0003246784514825821,1.6528361456260032e-05,1.3981689821046043e-05,1.3125463158377284e-05,1.3102843227223856e-05,1.3143196055896347e-05,8.806474145398882e-06,4.778954596961252e-06,0.0
QCD,2.4876471605028946e-06,1.2828889963011778e-08,1.2828889963011778e-08,1.000657428717601e-08,9.591973637385692e-09,1.5318606109066182e-09,7.472387222814908e-10,0.0,0.0
ZJets,0.002421591906365046,7.612514046484138e-05,7.540909993731829e-05,7.141305466200794e-05,7.118016978672454e-05,6.654383418701641e-05,3.5167308849130275e-05,1.607616588455012e-05,2.484128862701907e-07
Total,1.6957574430746622e-05,5.359296005889931e-07,5.248703450458366e-07,4.941197219028932e-07,4.905883462236552e-07,4.4484595044427184e-07,2.428848750886238e-07,1.1172657493573181e-07,1.2218534808057129e-09
