,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,6251,68,35
TTX,130908,1800,537
WJets,1118768,6091,2773
ZJets,709551,5537,3151
SingleTop,43674,301,106
Multiboson,23952,152,81
DY-M50,254356,3035,1217
TTbar,484904,6660,2342
DY-M4to50,24340,320,169
QCD,30275,161,43
Total,2826979,24125,10454
