,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,6251,126,98
TTbar,484904,2762,1670
SingleTop,43674,699,491
QCD,30275,37,10
DY-M4to50,24340,152,115
TTX,130908,378,222
ZJets,709551,5018,3944
Multiboson,23952,194,139
WJets,1118768,4651,3481
DY-M50,254356,1525,1050
Total,2826979,15542,11220
