,Preselections,n(good vertex) > 0,No b-tagged jets
TTX,130908,130908,33986
ZGamma,6251,6251,3650
TTbar,484904,484904,160199
DY-M4to50,24340,24340,9780
SingleTop,43674,43674,20439
Multiboson,23952,23952,13542
ZJets,709551,709551,438672
WJets,1118768,1118768,540417
QCD,30275,30275,7505
DY-M50,254356,254356,85579
Total,2826979,2826979,1313769
