,Preselections,n(good vertex) > 0,No b-tagged jets
DY-M50,254356,4560,2267
ZGamma,6251,194,133
QCD,30275,198,53
TTX,130908,2178,759
ZJets,709551,10555,7095
TTbar,484904,9422,4012
Multiboson,23952,346,220
DY-M4to50,24340,472,284
SingleTop,43674,1000,597
WJets,1118768,10742,6254
Total,2826979,39667,21674
