,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,6251,979,491
DY-M4to50,24340,5177,2382
ZJets,709551,103981,59386
SingleTop,43674,7353,2578
WJets,1118768,209889,97066
QCD,30275,3585,936
TTbar,484904,165038,55907
TTX,130908,48274,13806
DY-M50,254356,68571,25215
Multiboson,23952,4875,2514
Total,2826979,617722,260281
