,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,BDT
ZGamma,0.0003246784514825821,1.6528361456260032e-05,1.3981689821046043e-05,1.3125463158377284e-05,1.3102843227223856e-05,1.314319605589635e-05,8.806474145398882e-06,6.767675455639189e-06
Top,0.00039884940443411364,1.2976555639676757e-05,1.2095030957991066e-05,1.0904842548504597e-05,1.0772742134733126e-05,9.846214376428786e-06,6.272795646615525e-06,5.20204075852419e-06
Multiboson,0.0006583202167779596,3.4407442156885356e-05,3.00359397995666e-05,2.7633318142558323e-05,2.6784289320496898e-05,2.5174134683300435e-05,1.77435434164334e-05,1.5406931132497367e-05
WJets,0.0010131776773887344,3.7203495064303906e-05,3.664654695385394e-05,3.479842922367504e-05,3.4591858210596096e-05,3.1803906824493264e-05,1.6717294164348492e-05,1.2223474418445241e-05
ZJets,0.002421591906365046,7.612514046484138e-05,7.540909993731829e-05,7.141305466200794e-05,7.118016978672454e-05,6.654383418701641e-05,3.5167308849130275e-05,2.526322117946082e-05
DY,0.00018700921571001663,1.151112655231283e-05,1.1410370900841738e-05,1.0944579460519234e-05,1.0829998730387394e-05,9.524588867087597e-06,7.601932496295896e-06,4.801401410217142e-06
QCD,2.4876471605028946e-06,1.2828889963011782e-08,1.2828889963011782e-08,1.000657428717601e-08,9.591973637385692e-09,1.5318606109066182e-09,7.472387222814908e-10,7.472387222814908e-10
Total,1.6957574430746622e-05,5.359296005889932e-07,5.248703450458368e-07,4.941197219028932e-07,4.905883462236552e-07,4.4484595044427173e-07,2.428848750886238e-07,1.7887377403719485e-07
