,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT
WJets,0.0009708173462032791,6.342379254724219e-06,6.342379254724219e-06,4.454795283111755e-06,4.276978199990154e-06,4.262938712232608e-06,4.222278793201459e-06,3.5066928477730046e-06,8.687222915092835e-08
Multiboson,0.000644127781279855,4.720655734292516e-06,4.720655734292516e-06,2.789583827491273e-06,2.518847816661651e-06,2.4175269409728237e-06,2.3439233642664687e-06,2.0470361530258123e-06,4.1747994799911905e-08
ZJets,0.002325627921854295,2.6469215996916334e-05,2.6469215996916334e-05,1.9990272395766543e-05,1.901708461714986e-05,1.8887736803213013e-05,1.8710214745112076e-05,1.655152322697781e-05,4.026961039339233e-07
QCD,2.164011284450703e-06,1.4514760582759435e-08,1.4514760582759435e-08,3.887012049820888e-09,3.887012049820888e-09,3.887012049820888e-09,3.6085635865566724e-09,0.0,0.0
DY,1.2387214282735206e-05,1.574645883398543e-07,1.574645883398543e-07,1.1547403144922648e-07,1.0497639222656955e-07,1.0497639222656955e-07,1.0497639222656955e-07,1.0497639222656955e-07,2.0995278445313907e-08
Top,0.0003723517457608744,3.881046727731084e-06,3.881046727731084e-06,2.157043214935166e-06,2.027859210037787e-06,1.955951137281758e-06,1.9547323687780237e-06,1.3543643348443967e-06,8.011768828645186e-08
Total,1.3164740991835966e-05,1.0142468174871032e-07,1.0142468174871032e-07,6.52260122677282e-08,6.238289139323392e-08,6.197235397856121e-08,6.118179202019641e-08,4.8630290443481595e-08,1.5545942245198785e-09
